Variable,Explanation,Possible Values,
{Ex},This is the exchange on which the symbol is trading,"NSE BSE MCX",
{YY},This is the last 2 digits of the year,"2019 will be 19; 2020 will be 20; 2021 will be 21; 2022 will be 22",
{MMM},"For monthly expiries such as futures and options, this value is the 3 characters of the month. The month will always be denoted in uppercase.","JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC",
{M},"For weekly expiries, this value represents the month of expiry but with only 1 character. This is a mix of numbers as well as characters.","Jan -> 1. Feb -> 2. Mar -> 3. Apr -> 4. May -> 5. Jun -> 6. Jul -> 7. Aug -> 8. Sep -> 9. Oct -> O (Letter). Nov -> N. Dec -> D",
{dd},This is used in weekly expiries. This represents the date of the month on which the contract is going to expire. This value will always be 2 characters.,"either of 01 06 10 25 30",
{Opt_Type},This represents whether the contract is call or put,"Call Option -> CE & Put Option -> PE",
{Strike},This is the strike price of the option contract,"11000 75.5",
