1211260325831472,ITC 25 Mar 26 FUT ,13,1600,0.05,,0915-1530|1815-1915:,2026-03-20,1774432800,BSE:ITC26MARFUT,12,11,831472,ITC,500875,-1.0,,1210000000500875,None,0,0.0
1211260430850573,ITC 30 Apr 26 FUT ,13,1600,0.05,,0915-1530|1815-1915:,2026-03-20,1777543200,BSE:ITC26APRFUT,12,11,850573,ITC,500875,-1.0,,1210000000500875,None,0,0.0
1211260527875942,ITC 27 May 26 FUT ,13,1600,0.05,,0915-1530|1815-1915:,2026-03-20,1779876000,BSE:ITC26MAYFUT,12,11,875942,ITC,500875,-1.0,,1210000000500875,None,0,0.0
1211260325826810,JIOFIN 25 Mar 26 FUT ,13,2350,0.05,,0915-1530|1815-1915:,2026-03-20,1774432800,BSE:JIOFIN26MARFUT,12,11,826810,JIOFIN,543940,-1.0,,1210000000543940,None,0,0.0
1211260430854035,JIOFIN 30 Apr 26 FUT ,13,2350,0.05,,0915-1530|1815-1915:,2026-03-20,1777543200,BSE:JIOFIN26APRFUT,12,11,854035,JIOFIN,543940,-1.0,,1210000000543940,None,0,0.0
1211260527871568,JIOFIN 27 May 26 FUT ,13,2350,0.05,,0915-1530|1815-1915:,2026-03-20,1779876000,BSE:JIOFIN26MAYFUT,12,11,871568,JIOFIN,543940,-1.0,,1210000000543940,None,0,0.0
1211260325829185,JSWSTEEL 25 Mar 26 FUT ,13,675,0.05,,0915-1530|1815-1915:,2026-03-20,1774432800,BSE:JSWSTEEL26MARFUT,12,11,829185,JSWSTEEL,500228,-1.0,,1210000000500228,None,0,0.0
1211260430848569,JSWSTEEL 30 Apr 26 FUT ,13,675,0.05,,0915-1530|1815-1915:,2026-03-20,1777543200,BSE:JSWSTEEL26APRFUT,12,11,848569,JSWSTEEL,500228,-1.0,,1210000000500228,None,0,0.0
1211260527874141,JSWSTEEL 27 May 26 FUT ,13,675,0.05,,0915-1530|1815-1915:,2026-03-20,1779876000,BSE:JSWSTEEL26MAYFUT,12,11,874141,JSWSTEEL,500228,-1.0,,1210000000500228,None,0,0.0
1211260325827546,RELIANCE 25 Mar 26 FUT ,13,500,0.05,,0915-1530|1815-1915:,2026-03-20,1774432800,BSE:RELIANCE26MARFUT,12,11,827546,RELIANCE,500325,-1.0,,1210000000500325,None,0,0.0
1211260430854916,RELIANCE 30 Apr 26 FUT ,13,500,0.05,,0915-1530|1815-1915:,2026-03-20,1777543200,BSE:RELIANCE26APRFUT,12,11,854916,RELIANCE,500325,-1.0,,1210000000500325,None,0,0.0
1211260527872422,RELIANCE 27 May 26 FUT ,13,500,0.05,,0915-1530|1815-1915:,2026-03-20,1779876000,BSE:RELIANCE26MAYFUT,12,11,872422,RELIANCE,500325,-1.0,,1210000000500325,None,0,0.0
1211260325828576,SBIN 25 Mar 26 FUT ,13,750,0.05,,0915-1530|1815-1915:,2026-03-20,1774432800,BSE:SBIN26MARFUT,12,11,828576,SBIN,500112,-1.0,,1210000000500112,None,0,0.0
1211260430856045,SBIN 30 Apr 26 FUT ,13,750,0.05,,0915-1530|1815-1915:,2026-03-20,1777543200,BSE:SBIN26APRFUT,12,11,856045,SBIN,500112,-1.0,,1210000000500112,None,0,0.0
1211260527873499,SBIN 27 May 26 FUT ,13,750,0.05,,0915-1530|1815-1915:,2026-03-20,1779876000,BSE:SBIN26MAYFUT,12,11,873499,SBIN,500112,-1.0,,1210000000500112,None,0,0.0
1211260325826353,TATASTEEL 25 Mar 26 FUT ,13,5500,0.05,,0915-1530|1815-1915:,2026-03-20,1774432800,BSE:TATASTEEL26MARFUT,12,11,826353,TATASTEEL,500470,-1.0,,1210000000500470,None,0,0.0
1211260430853526,TATASTEEL 30 Apr 26 FUT ,13,5500,0.05,,0915-1530|1815-1915:,2026-03-20,1777543200,BSE:TATASTEEL26APRFUT,12,11,853526,TATASTEEL,500470,-1.0,,1210000000500470,None,0,0.0
1211260527871095,TATASTEEL 27 May 26 FUT ,13,5500,0.05,,0915-1530|1815-1915:,2026-03-20,1779876000,BSE:TATASTEEL26MAYFUT,12,11,871095,TATASTEEL,500470,-1.0,,1210000000500470,None,0,0.0
1211260325831479,TCS 25 Mar 26 FUT ,13,175,0.05,,0915-1530|1815-1915:,2026-03-20,1774432800,BSE:TCS26MARFUT,12,11,831479,TCS,532540,-1.0,,1210000000532540,None,0,0.0
1211260430850579,TCS 30 Apr 26 FUT ,13,175,0.05,,0915-1530|1815-1915:,2026-03-20,1777543200,BSE:TCS26APRFUT,12,11,850579,TCS,532540,-1.0,,1210000000532540,None,0,0.0
1211260527875950,TCS 27 May 26 FUT ,13,175,0.05,,0915-1530|1815-1915:,2026-03-20,1779876000,BSE:TCS26MAYFUT,12,11,875950,TCS,532540,-1.0,,1210000000532540,None,0,0.0
1211260325826690,TITAN 25 Mar 26 FUT ,13,175,0.05,,0915-1530|1815-1915:,2026-03-20,1774432800,BSE:TITAN26MARFUT,12,11,826690,TITAN,500114,-1.0,,1210000000500114,None,0,0.0
1211260430853887,TITAN 30 Apr 26 FUT ,13,175,0.05,,0915-1530|1815-1915:,2026-03-20,1777543200,BSE:TITAN26APRFUT,12,11,853887,TITAN,500114,-1.0,,1210000000500114,None,0,0.0
1211260527871440,TITAN 27 May 26 FUT ,13,175,0.05,,0915-1530|1815-1915:,2026-03-20,1779876000,BSE:TITAN26MAYFUT,12,11,871440,TITAN,500114,-1.0,,1210000000500114,None,0,0.0
1211260325824122,BANKEX 25 Mar 26 62200 CE,14,30,0.05,,0915-1530|1815-1915:,2026-03-20,1774432800,BSE:BANKEX26MAR62200CE,12,11,824122,BANKEX,12,62200.0,CE,121000000012,None,0,0.0
1211260325824125,BANKEX 25 Mar 26 64500 CE,14,30,0.05,,0915-1530|1815-1915:,2026-03-20,1774432800,BSE:BANKEX26MAR64500CE,12,11,824125,BANKEX,12,64500.0,CE,121000000012,None,0,0.0
1211260325824145,BANKEX 25 Mar 26 67900 PE,14,30,0.05,,0915-1530|1815-1915:,2026-03-20,1774432800,BSE:BANKEX26MAR67900PE,12,11,824145,BANKEX,12,67900.0,PE,121000000012,None,0,0.0
1211260325824165,BANKEX 25 Mar 26 60800 CE,14,30,0.05,,0915-1530|1815-1915:,2026-03-20,1774432800,BSE:BANKEX26MAR60800CE,12,11,824165,BANKEX,12,60800.0,CE,121000000012,None,0,0.0
1211260325824180,BANKEX 25 Mar 26 72200 CE,14,30,0.05,,0915-1530|1815-1915:,2026-03-20,1774432800,BSE:BANKEX26MAR72200CE,12,11,824180,BANKEX,12,72200.0,CE,121000000012,None,0,0.0
1211260325824182,BANKEX 25 Mar 26 74500 CE,14,30,0.05,,0915-1530|1815-1915:,2026-03-20,1774432800,BSE:BANKEX26MAR74500CE,12,11,824182,BANKEX,12,74500.0,CE,121000000012,None,0,0.0
1211260325824231,BANKEX 25 Mar 26 70800 CE,14,30,0.05,,0915-1530|1815-1915:,2026-03-20,1774432800,BSE:BANKEX26MAR70800CE,12,11,824231,BANKEX,12,70800.0,CE,121000000012,None,0,0.0
1211260325824274,BANKEX 25 Mar 26 59200 CE,14,30,0.05,,0915-1530|1815-1915:,2026-03-20,1774432800,BSE:BANKEX26MAR59200CE,12,11,824274,BANKEX,12,59200.0,CE,121000000012,None,0,0.0
1211260325824290,BANKEX 25 Mar 26 66200 PE,14,30,0.05,,0915-1530|1815-1915:,2026-03-20,1774432800,BSE:BANKEX26MAR66200PE,12,11,824290,BANKEX,12,66200.0,PE,121000000012,None,0,0.0
1211260325824294,BANKEX 25 Mar 26 68500 PE,14,30,0.05,,0915-1530|1815-1915:,2026-03-20,1774432800,BSE:BANKEX26MAR68500PE,12,11,824294,BANKEX,12,68500.0,PE,121000000012,None,0,0.0
1211260325824320,BANKEX 25 Mar 26 57800 CE,14,30,0.05,,0915-1530|1815-1915:,2026-03-20,1774432800,BSE:BANKEX26MAR57800CE,12,11,824320,BANKEX,12,57800.0,CE,121000000012,None,0,0.0
1211260325824330,BANKEX 25 Mar 26 60200 PE,14,30,0.05,,0915-1530|1815-1915:,2026-03-20,1774432800,BSE:BANKEX26MAR60200PE,12,11,824330,BANKEX,12,60200.0,PE,121000000012,None,0,0.0
1211260325824334,BANKEX 25 Mar 26 62500 PE,14,30,0.05,,0915-1530|1815-1915:,2026-03-20,1774432800,BSE:BANKEX26MAR62500PE,12,11,824334,BANKEX,12,62500.0,PE,121000000012,None,0,0.0
1211260325824340,BANKEX 25 Mar 26 64800 PE,14,30,0.05,,0915-1530|1815-1915:,2026-03-20,1774432800,BSE:BANKEX26MAR64800PE,12,11,824340,BANKEX,12,64800.0,PE,121000000012,None,0,0.0
1211260325824345,BANKEX 25 Mar 26 69200 CE,14,30,0.05,,0915-1530|1815-1915:,2026-03-20,1774432800,BSE:BANKEX26MAR69200CE,12,11,824345,BANKEX,12,69200.0,CE,121000000012,None,0,0.0
1211260325824378,BANKEX 25 Mar 26 63200 CE,14,30,0.05,,0915-1530|1815-1915:,2026-03-20,1774432800,BSE:BANKEX26MAR63200CE,12,11,824378,BANKEX,12,63200.0,CE,121000000012,None,0,0.0
1211260325824382,BANKEX 25 Mar 26 65500 CE,14,30,0.05,,0915-1530|1815-1915:,2026-03-20,1774432800,BSE:BANKEX26MAR65500CE,12,11,824382,BANKEX,12,65500.0,CE,121000000012,None,0,0.0
1211260325824389,BANKEX 25 Mar 26 67800 CE,14,30,0.05,,0915-1530|1815-1915:,2026-03-20,1774432800,BSE:BANKEX26MAR67800CE,12,11,824389,BANKEX,12,67800.0,CE,121000000012,None,0,0.0
1211260325824396,BANKEX 25 Mar 26 70200 PE,14,30,0.05,,0915-1530|1815-1915:,2026-03-20,1774432800,BSE:BANKEX26MAR70200PE,12,11,824396,BANKEX,12,70200.0,PE,121000000012,None,0,0.0
1211260325824400,BANKEX 25 Mar 26 72500 PE,14,30,0.05,,0915-1530|1815-1915:,2026-03-20,1774432800,BSE:BANKEX26MAR72500PE,12,11,824400,BANKEX,12,72500.0,PE,121000000012,None,0,0.0
1211260325824404,BANKEX 25 Mar 26 74800 PE,14,30,0.05,,0915-1530|1815-1915:,2026-03-20,1774432800,BSE:BANKEX26MAR74800PE,12,11,824404,BANKEX,12,74800.0,PE,121000000012,None,0,0.0
1211260325824426,BANKEX 25 Mar 26 61800 CE,14,30,0.05,,0915-1530|1815-1915:,2026-03-20,1774432800,BSE:BANKEX26MAR61800CE,12,11,824426,BANKEX,12,61800.0,CE,121000000012,None,0,0.0
1211260325824449,BANKEX 25 Mar 26 75500 CE,14,30,0.05,,0915-1530|1815-1915:,2026-03-20,1774432800,BSE:BANKEX26MAR75500CE,12,11,824449,BANKEX,12,75500.0,CE,121000000012,None,0,0.0
1211260325824486,BANKEX 25 Mar 26 57200 PE,14,30,0.05,,0915-1530|1815-1915:,2026-03-20,1774432800,BSE:BANKEX26MAR57200PE,12,11,824486,BANKEX,12,57200.0,PE,121000000012,None,0,0.0
1211260325824490,BANKEX 25 Mar 26 59500 PE,14,30,0.05,,0915-1530|1815-1915:,2026-03-20,1774432800,BSE:BANKEX26MAR59500PE,12,11,824490,BANKEX,12,59500.0,PE,121000000012,None,0,0.0
1211260325824493,BANKEX 25 Mar 26 71800 CE,14,30,0.05,,0915-1530|1815-1915:,2026-03-20,1774432800,BSE:BANKEX26MAR71800CE,12,11,824493,BANKEX,12,71800.0,CE,121000000012,None,0,0.0
1211260325824560,BANKEX 25 Mar 26 69500 PE,14,30,0.05,,0915-1530|1815-1915:,2026-03-20,1774432800,BSE:BANKEX26MAR69500PE,12,11,824560,BANKEX,12,69500.0,PE,121000000012,None,0,0.0
