101126052666075,ABCAPITAL 26 May 26 FUT,13,3100,0.05,,0915-1530|1815-1915:,2026-03-20,1779789600,NSE:ABCAPITAL26MAYFUT,10,11,66075,ABCAPITAL,21614,-1.0,XX,101000000021614,None,0,0.0
101126033051725,ADANIENSOL 30 Mar 26 FUT,13,675,0.1,,0915-1530|1815-1915:,2026-03-20,1774864800,NSE:ADANIENSOL26MARFUT,10,11,51725,ADANIENSOL,10217,-1.0,XX,101000000010217,None,0,0.0
101126042866696,ADANIENSOL 28 Apr 26 FUT,13,675,0.1,,0915-1530|1815-1915:,2026-03-20,1777370400,NSE:ADANIENSOL26APRFUT,10,11,66696,ADANIENSOL,10217,-1.0,XX,101000000010217,None,0,0.0
101126052666076,ADANIENSOL 26 May 26 FUT,13,675,0.1,,0915-1530|1815-1915:,2026-03-20,1779789600,NSE:ADANIENSOL26MAYFUT,10,11,66076,ADANIENSOL,10217,-1.0,XX,101000000010217,None,0,0.0
101126033051728,ADANIENT 30 Mar 26 FUT,13,309,0.1,,0915-1530|1815-1915:,2026-03-20,1774864800,NSE:ADANIENT26MARFUT,10,11,51728,ADANIENT,25,-1.0,XX,101000000025,None,0,0.0
101126042866703,ADANIENT 28 Apr 26 FUT,13,309,0.1,,0915-1530|1815-1915:,2026-03-20,1777370400,NSE:ADANIENT26APRFUT,10,11,66703,ADANIENT,25,-1.0,XX,101000000025,None,0,0.0
101126052666077,ADANIENT 26 May 26 FUT,13,309,0.1,,0915-1530|1815-1915:,2026-03-20,1779789600,NSE:ADANIENT26MAYFUT,10,11,66077,ADANIENT,25,-1.0,XX,101000000025,None,0,0.0
101126033051729,ADANIGREEN 30 Mar 26 FUT,13,600,0.05,,0915-1530|1815-1915:,2026-03-20,1774864800,NSE:ADANIGREEN26MARFUT,10,11,51729,ADANIGREEN,3563,-1.0,XX,10100000003563,None,0,0.0
101126042866704,ADANIGREEN 28 Apr 26 FUT,13,600,0.05,,0915-1530|1815-1915:,2026-03-20,1777370400,NSE:ADANIGREEN26APRFUT,10,11,66704,ADANIGREEN,3563,-1.0,XX,10100000003563,None,0,0.0
101126052666078,ADANIGREEN 26 May 26 FUT,13,600,0.05,,0915-1530|1815-1915:,2026-03-20,1779789600,NSE:ADANIGREEN26MAYFUT,10,11,66078,ADANIGREEN,3563,-1.0,XX,10100000003563,None,0,0.0
101126033051734,ADANIPORTS 30 Mar 26 FUT,13,475,0.1,,0915-1530|1815-1915:,2026-03-20,1774864800,NSE:ADANIPORTS26MARFUT,10,11,51734,ADANIPORTS,15083,-1.0,XX,101000000015083,None,0,0.0
101126042866705,ADANIPORTS 28 Apr 26 FUT,13,475,0.1,,0915-1530|1815-1915:,2026-03-20,1777370400,NSE:ADANIPORTS26APRFUT,10,11,66705,ADANIPORTS,15083,-1.0,XX,101000000015083,None,0,0.0
101126052666079,ADANIPORTS 26 May 26 FUT,13,475,0.1,,0915-1530|1815-1915:,2026-03-20,1779789600,NSE:ADANIPORTS26MAYFUT,10,11,66079,ADANIPORTS,15083,-1.0,XX,101000000015083,None,0,0.0
101126033051735,ALKEM 30 Mar 26 FUT,13,125,0.5,,0915-1530|1815-1915:,2026-03-20,1774864800,NSE:ALKEM26MARFUT,10,11,51735,ALKEM,11703,-1.0,XX,101000000011703,None,0,0.0
101126042866706,ALKEM 28 Apr 26 FUT,13,125,0.5,,0915-1530|1815-1915:,2026-03-20,1777370400,NSE:ALKEM26APRFUT,10,11,66706,ALKEM,11703,-1.0,XX,101000000011703,None,0,0.0
